OBJECTID,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_3409_LABEL,Shape__Area,Shape__Length
84,217046,CASHEL URBAN,Caiseal (Uirbeach),TIPPERARY,Tiobraid Árann,Munster,607693.023050737,640479.506145644,2AE196291C5413A3E055000000000001,23084,217046,Cashel Urban,0.000177495792546,0.053362863489692
85,47017,BALLINGURTEEN, ,CORK,Corcaigh,Munster,528357.084557767,548258.218137078,2AE196291F1913A3E055000000000001,18106,47017,Ballingurteen,0.003093867671011,0.356640064177258
86,107084,RATHSARAN, ,LAOIS,Laois,Leinster,624869.19925877,678370.626181389,2AE1962916E313A3E055000000000001,08087,107084,Rathsaran,0.002063459034576,0.351362893290221
87,227034,DUNGARVAN RURAL,Dún Garbhán (Tuath),WATERFORD,Port Láirge,Munster,624016.308441822,592217.623764983,2AE196291B3B13A3E055000000000001,25029,227034,Dungarvan Rural,0.002437369149085,0.4573360282735
88,177008,BELLANODE,Béal Átha an Fhóid,MONAGHAN,Muineachán,Ulster,664450.932264705,835015.443204831,2AE196291A7C13A3E055000000000001,34048,177008,Bellanode,0.003260183532912,0.387043634656299
89,157115,LOUGHANBOY, ,MAYO,Maigh Eo,Connacht,552823.223838645,781280.413699675,2AE1962918D513A3E055000000000001,29099,157115,Loughanboy,0.003239714281034,0.356781049360959
90,157025,BALLYHAUNIS, ,MAYO,Maigh Eo,Connacht,548742.711791998,778014.663630203,2AE1962918D813A3E055000000000001,29085,157025,Ballyhaunis,0.004070925728334,0.43463140118249
91,67068,COLMANSTOWN, ,GALWAY,Gaillimh,Connacht,560345.491298498,737963.431004548,2AE19629205513A3E055000000000001,27108,67068,Colmanstown,0.001336976917829,0.152490611696068
92,77016,BALLYDUFF,An Baile Dubh,KERRY,Ciarraí,Munster,453470.946472991,608349.65761523,2AE1962922D513A3E055000000000001,19027,77016,An Baile Dubh,0.004335331738198,0.343637231421767
93,217174,YOUGHALARRA,Eochaill,TIPPERARY,Tiobraid Árann,Munster,579630.518726969,678963.945212361,2AE196291C4E13A3E055000000000001,22051,217174,Youghalarra,0.003949375457675,0.361786015278262
94,268043,CLONTARF EAST C, ,DUBLIN,Baile Átha Cliath,Leinster,719746.371399413,736388.988063024,2AE196291D4513A3E055000000000001,02039,268043,Clontarf East C,0.000111442675427,0.047300574249076
95,227023,CLONEA,Cluain Fhia [CC: Carraig na Siúire],WATERFORD,Port Láirge,Munster,639477.122854047,613680.689676565,2AE196291BEE13A3E055000000000001,25005,227023,Clonea,0.002485776507805,0.275864929896698
96,117001,AGHACASHEL, ,LEITRIM,Liatroim,Connacht,603699.717659691,814511.809813892,2AE19629170813A3E055000000000001,28012,117001,Aghacashel,0.001400314379893,0.193826401504099
97,107005,ARLESS, ,LAOIS,Laois,Leinster,665664.062391026,683487.553506015,2AE1962916AC13A3E055000000000001,08089,107005,Arless,0.002140099404332,0.311086572609488
98,267072,DUN LAOGHAIRE SALLYNOGGIN EAST, ,DUBLIN,Baile Átha Cliath,Leinster,724450.121902564,726660.381097094,2AE196291D3F13A3E055000000000001,05047,267072,Dún Laoghaire-Sallynoggin East,9.8670244926e-05,0.051385946998041
99,117014,BUNNYBEG, ,LEITRIM,Liatroim,Connacht,603911.91746128,800576.015970799,2AE19629171713A3E055000000000001,28059,117014,Bunnybeg,0.001794239933578,0.397403379570847
100,77055,CORDAL, ,KERRY,Ciarraí,Munster,508311.68054339,607807.730452652,2AE1962923B013A3E055000000000001,19144,77055,Cordal,0.003123963463182,0.362575810656228
101,117036,DRUMSNA, ,LEITRIM,Liatroim,Connacht,600631.566413071,800963.927889196,2AE19629172C13A3E055000000000001,28019,117036,Drumsna,0.002978805667073,0.346201882516159
102,47296,SLIEVEREAGH,An Sliabh Riabhach,CORK,Corcaigh,Munster,517076.873031362,578852.615547777,2AE1962921C913A3E055000000000001,18218,47296,An Sliabh Riabhach,0.006195639065384,0.444750754196313
103,47256,MILFORD, ,CORK,Corcaigh,Munster,542224.338776722,621253.042184928,2AE1962921D613A3E055000000000001,18168,47256,Milford,0.002995261044644,0.320447318778371
104,37023,CARROWBAUN, ,CLARE,An Clár,Munster,565294.011645658,676793.006470646,2AE19629200313A3E055000000000001,16125,37023,Carrowbaun,0.002587228453326,0.283964557464032
105,177061,NEWBLISS,Cúil Darach,MONAGHAN,Muineachán,Ulster,653041.431661332,822916.186111062,2AE196291AAC13A3E055000000000001,34045,177061,Newbliss,0.002606455687274,0.340498706818062
106,117002,AGHALATEEVE, ,LEITRIM,Liatroim,Connacht,580112.885896293,849353.514540904,3576C5999AEA4152E0530100007F0280,28027/28028,117002,Aghalateeve / Aghanlish,0.005181485342633,0.329133247589756
107,227083,SESKINAN,Seisceannán,WATERFORD,Port Láirge,Munster,621155.062714139,606567.696053353,2AE196291B4A13A3E055000000000001,25035,227083,Seskinan,0.003400786576265,0.3601741756377
108,177024,CLONES URBAN,Cluain Eois (Uirbeach),MONAGHAN,Muineachán,Ulster,650027.575333876,825899.702373148,2AE196291ABE13A3E055000000000001,34003,177024,Clones Urban,9.7182779831e-05,0.046108468174521
109,267069,DUN LAOGHAIRE-GLENAGEARY, ,DUBLIN,Baile Átha Cliath,Leinster,724069.989869369,727679.65743034,2AE196291D3C13A3E055000000000001,05044,267069,Dún Laoghaire-Glenageary,7.882766027e-05,0.038295217305993
110,268017,BALLYMUN C, ,DUBLIN,Baile Átha Cliath,Leinster,715851.420682194,739831.584372745,2AE196291D0D13A3E055000000000001,02017,268017,Ballymun C,0.000106035589158,0.042036005392728
111,57004,ARDARA,Ard an Rátha,DONEGAL,Dún na nGall,Ulster,578006.220854198,890203.658400335,2AE1962921CC13A3E055000000000001,33041,57004,Ard an Rátha,0.005118687493691,0.429671744505764
112,117063,MANORHAMILTON, ,LEITRIM,Liatroim,Connacht,589061.972294157,840683.283439794,2AE19629174813A3E055000000000001,28052,117063,Manorhamilton,0.004643962051134,0.440734208888739
113,197078,KILMORE, ,ROSCOMMON,Ros Comáin,Connacht,598248.027619483,791719.502795463,2AE19629199113A3E055000000000001,30045,197078,Kilmore,0.0026167414652,0.284691391825306
114,47087,CASTLETOWNROCHE, ,CORK,Corcaigh,Munster,568860.980120256,603918.431869566,2AE196291F8413A3E055000000000001,18128,47087,Castletownroche,0.003183827522113,0.332563141317436
115,57035,CLOGHARD, ,DONEGAL,Dún na nGall,Ulster,624008.704854557,891791.441139356,2AE19629209113A3E055000000000001,33132,57035,Cloghard,0.003007855857026,0.27623082291682
116,47107,COBH URBAN, ,CORK,Corcaigh,Munster,579125.047533905,566539.796068144,2AE196291F4013A3E055000000000001,18002,47107,Cobh Urban,0.000312202602459,0.127683988474321
117,127105,LIMERICK NORTH RURAL,Luimneach Thuaidh (Tuath),LIMERICK,Luimneach,Munster,554177.250341775,658009.552552936,2AE1962917C013A3E055000000000001,20065,127105,Limerick North Rural,0.001324459993225,0.187428501438214
118,128018,FARRANSHONE,Fearann Seoin,LIMERICK,Luimneach,Munster,556499.158441637,657879.352567465,2AE1962917EA13A3E055000000000001,20018,128018,Farranshone,3.7239917571e-05,0.025484332847456
